pizza_id,order_id,pizza_name_id,quantity,order_date,order_time,unit_price,total_price,pizza_size,pizza_category,pizza_ingredients,pizza_name,Date
23,9,veggie_veg_s,1,01-01-15,12:52:01,12,12,S,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,2015-01-01
24,10,mexicana_l,1,01-01-15,13:00:15,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,2015-01-01
25,10,southw_ckn_l,1,01-01-15,13:00:15,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,2015-01-01
26,11,bbq_ckn_l,1,01-01-15,13:02:59,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,2015-01-01
27,11,cali_ckn_l,1,01-01-15,13:02:59,20.75,20.75,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,2015-01-01
28,11,cali_ckn_m,1,01-01-15,13:02:59,16.75,16.75,M,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,2015-01-01
29,11,pepperoni_l,1,01-01-15,13:02:59,15.25,15.25,L,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,2015-01-01
30,12,cali_ckn_l,1,01-01-15,13:04:41,20.75,20.75,L,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,2015-01-01
31,12,cali_ckn_s,1,01-01-15,13:04:41,12.75,12.75,S,Chicken,"Chicken, Artichoke, Spinach, Garlic, Jalapeno Peppers, Fontina Cheese, Gouda Cheese",The California Chicken Pizza,2015-01-01
32,12,ckn_pesto_l,1,01-01-15,13:04:41,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,2015-01-01
33,12,ital_supr_m,1,01-01-15,13:04:41,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015-01-01
34,13,mexicana_l,1,01-01-15,13:11:55,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,2015-01-01
35,14,the_greek_s,1,01-01-15,13:14:19,12,12,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,2015-01-01
36,15,big_meat_s,1,01-01-15,13:33:00,12,12,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,2015-01-01
37,15,five_cheese_l,1,01-01-15,13:33:00,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,2015-01-01
38,15,soppressata_l,1,01-01-15,13:33:00,20.75,20.75,L,Supreme,"Soppressata Salami, Fontina Cheese, Mozzarella Cheese, Mushrooms, Garlic",The Soppressata Pizza,2015-01-01
39,15,the_greek_s,1,01-01-15,13:33:00,12,12,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,2015-01-01
40,16,four_cheese_l,1,01-01-15,13:34:07,17.95,17.95,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,2015-01-01
41,16,napolitana_s,1,01-01-15,13:34:07,12,12,S,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza,2015-01-01
42,16,thai_ckn_l,1,01-01-15,13:34:07,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,2015-01-01
43,17,bbq_ckn_l,1,01-01-15,13:53:00,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,2015-01-01
44,17,calabrese_m,1,01-01-15,13:53:00,16.25,16.25,M,Supreme,"?duja Salami, Pancetta, Tomatoes, Red Onions, Friggitello Peppers, Garlic",The Calabrese Pizza,2015-01-01
45,17,five_cheese_l,1,01-01-15,13:53:00,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,2015-01-01
46,17,four_cheese_m,1,01-01-15,13:53:00,14.75,14.75,M,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,2015-01-01
47,17,ital_supr_m,1,01-01-15,13:53:00,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015-01-01
48,17,ital_veggie_s,1,01-01-15,13:53:00,12.75,12.75,S,Veggie,"Eggplant, Artichokes, Tomatoes, Zucchini, Red Peppers, Garlic, Pesto Sauce",The Italian Vegetables Pizza,2015-01-01
49,17,mediterraneo_m,2,01-01-15,13:53:00,16,32,M,Veggie,"Spinach, Artichokes, Kalamata Olives, Sun-dried Tomatoes, Feta Cheese, Plum Tomatoes, Red Onions",The Mediterranean Pizza,2015-01-01
50,17,mexicana_l,1,01-01-15,13:53:00,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,2015-01-01
51,17,peppr_salami_s,1,01-01-15,13:53:00,12.5,12.5,S,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,2015-01-01
52,17,spinach_fet_l,1,01-01-15,13:53:00,20.25,20.25,L,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza,2015-01-01
53,18,napolitana_l,1,01-01-15,13:57:08,20.5,20.5,L,Classic,"Tomatoes, Anchovies, Green Olives, Red Onions, Garlic",The Napolitana Pizza,2015-01-01
54,19,ital_cpcllo_l,1,01-01-15,13:59:09,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,2015-01-01
55,19,sicilian_l,1,01-01-15,13:59:09,20.25,20.25,L,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,2015-01-01
56,20,big_meat_s,1,01-01-15,14:03:08,12,12,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,2015-01-01
57,20,five_cheese_l,1,01-01-15,14:03:08,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,2015-01-01
58,21,ital_cpcllo_l,1,01-01-15,14:14:29,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,2015-01-01
59,22,five_cheese_l,1,01-01-15,14:16:26,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,2015-01-01
60,22,ital_cpcllo_m,1,01-01-15,14:16:26,16,16,M,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,2015-01-01
61,22,southw_ckn_l,1,01-01-15,14:16:26,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,2015-01-01
62,23,southw_ckn_s,1,01-01-15,14:19:03,12.75,12.75,S,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,2015-01-01
63,24,bbq_ckn_m,1,01-01-15,14:23:01,16.75,16.75,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,2015-01-01
64,24,ital_cpcllo_m,1,01-01-15,14:23:01,16,16,M,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,2015-01-01
65,24,pepperoni_m,1,01-01-15,14:23:01,12.5,12.5,M,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,2015-01-01
66,24,prsc_argla_s,1,01-01-15,14:23:01,12.5,12.5,S,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,2015-01-01
67,25,sicilian_m,1,01-01-15,14:44:44,16.25,16.25,M,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,2015-01-01
68,25,thai_ckn_l,1,01-01-15,14:44:44,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,2015-01-01
69,26,classic_dlx_s,1,01-01-15,14:54:26,12,12,S,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,2015-01-01
70,26,veggie_veg_l,1,01-01-15,14:54:26,20.25,20.25,L,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,2015-01-01
71,27,bbq_ckn_l,1,01-01-15,15:11:17,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,2015-01-01
72,27,classic_dlx_m,1,01-01-15,15:11:17,16,16,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,2015-01-01
73,27,spinach_fet_l,1,01-01-15,15:11:17,20.25,20.25,L,Veggie,"Spinach, Mushrooms, Red Onions, Feta Cheese, Garlic",The Spinach and Feta Pizza,2015-01-01
74,28,ckn_alfredo_s,1,01-01-15,15:35:46,12.75,12.75,S,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza,2015-01-01
75,29,green_garden_s,1,01-01-15,15:41:01,12,12,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,2015-01-01
76,30,thai_ckn_l,1,01-01-15,15:41:25,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,2015-01-01
77,31,mexicana_m,1,01-01-15,15:50:18,16,16,M,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,2015-01-01
78,31,pepperoni_s,1,01-01-15,15:50:18,9.75,9.75,S,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,2015-01-01
79,32,big_meat_s,1,01-01-15,15:53:18,12,12,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,2015-01-01
80,32,green_garden_l,1,01-01-15,15:53:18,20.25,20.25,L,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,2015-01-01
81,32,ital_cpcllo_l,1,01-01-15,15:53:18,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,2015-01-01
82,32,ital_supr_m,1,01-01-15,15:53:18,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015-01-01
83,33,bbq_ckn_l,1,01-01-15,15:54:08,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,2015-01-01
84,33,green_garden_s,1,01-01-15,15:54:08,12,12,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,2015-01-01
85,34,the_greek_s,1,01-01-15,16:21:21,12,12,S,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,2015-01-01
86,35,green_garden_m,1,01-01-15,16:32:04,16,16,M,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,2015-01-01
87,35,pep_msh_pep_l,1,01-01-15,16:32:04,17.5,17.5,L,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza",2015-01-01
88,35,pepperoni_m,1,01-01-15,16:32:04,12.5,12.5,M,Classic,"Mozzarella Cheese, Pepperoni",The Pepperoni Pizza,2015-01-01
89,35,thai_ckn_l,1,01-01-15,16:32:04,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,2015-01-01
90,36,bbq_ckn_m,1,01-01-15,16:54:09,16.75,16.75,M,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,2015-01-01
91,36,classic_dlx_m,1,01-01-15,16:54:09,16,16,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,2015-01-01
92,37,ital_supr_l,1,01-01-15,16:56:09,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015-01-01
93,37,mexicana_l,1,01-01-15,16:56:09,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,2015-01-01
94,38,hawaiian_s,1,01-01-15,17:03:00,10.5,10.5,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,2015-01-01
95,38,ital_cpcllo_l,1,01-01-15,17:03:00,20.5,20.5,L,Classic,"Capocollo, Red Peppers, Tomatoes, Goat Cheese, Garlic, Oregano",The Italian Capocollo Pizza,2015-01-01
96,39,ital_supr_l,1,01-01-15,17:07:23,20.75,20.75,L,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015-01-01
97,40,four_cheese_l,1,01-01-15,17:14:36,17.95,17.95,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,2015-01-01
98,40,southw_ckn_s,1,01-01-15,17:14:36,12.75,12.75,S,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,2015-01-01
99,41,four_cheese_m,1,01-01-15,17:15:20,14.75,14.75,M,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,2015-01-01
100,41,green_garden_s,1,01-01-15,17:15:20,12,12,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,2015-01-01
101,42,big_meat_s,1,01-01-15,17:28:09,12,12,S,Classic,"Bacon, Pepperoni, Italian Sausage, Chorizo Sausage",The Big Meat Pizza,2015-01-01
102,42,five_cheese_l,1,01-01-15,17:28:09,18.5,18.5,L,Veggie,"Mozzarella Cheese, Provolone Cheese, Smoked Gouda Cheese, Romano Cheese, Blue Cheese, Garlic",The Five Cheese Pizza,2015-01-01
103,42,mexicana_l,1,01-01-15,17:28:09,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,2015-01-01
104,42,peppr_salami_m,1,01-01-15,17:28:09,16.5,16.5,M,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,2015-01-01
105,43,ckn_alfredo_m,1,01-01-15,17:38:34,16.75,16.75,M,Chicken,"Chicken, Red Onions, Red Peppers, Mushrooms, Asiago Cheese, Alfredo Sauce",The Chicken Alfredo Pizza,2015-01-01
106,43,ital_supr_m,1,01-01-15,17:38:34,16.5,16.5,M,Supreme,"Calabrese Salami, Capocollo, Tomatoes, Red Onions, Green Olives, Garlic",The Italian Supreme Pizza,2015-01-01
107,43,peppr_salami_l,1,01-01-15,17:38:34,20.75,20.75,L,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,2015-01-01
108,44,spin_pesto_s,1,01-01-15,17:54:20,12.5,12.5,S,Veggie,"Spinach, Artichokes, Tomatoes, Sun-dried Tomatoes, Garlic, Pesto Sauce",The Spinach Pesto Pizza,2015-01-01
109,45,four_cheese_l,1,01-01-15,17:55:48,17.95,17.95,L,Veggie,"Ricotta Cheese, Gorgonzola Piccante Cheese, Mozzarella Cheese, Parmigiano Reggiano Cheese, Garlic",The Four Cheese Pizza,2015-01-01
110,45,hawaiian_s,1,01-01-15,17:55:48,10.5,10.5,S,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,2015-01-01
111,45,thai_ckn_m,1,01-01-15,17:55:48,16.75,16.75,M,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,2015-01-01
112,46,ckn_pesto_l,1,01-01-15,18:25:51,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,2015-01-01
113,46,classic_dlx_l,1,01-01-15,18:25:51,20.5,20.5,L,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,2015-01-01
114,46,thai_ckn_m,1,01-01-15,18:25:51,16.75,16.75,M,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,2015-01-01
115,47,southw_ckn_l,1,01-01-15,18:26:34,20.75,20.75,L,Chicken,"Chicken, Tomatoes, Red Peppers, Red Onions, Jalapeno Peppers, Corn, Cilantro, Chipotle Sauce",The Southwest Chicken Pizza,2015-01-01
116,47,veggie_veg_s,1,01-01-15,18:26:34,12,12,S,Veggie,"Mushrooms, Tomatoes, Red Peppers, Green Peppers, Red Onions, Zucchini, Spinach, Garlic",The Vegetables + Vegetables Pizza,2015-01-01
117,48,ckn_pesto_m,1,01-01-15,18:26:42,16.75,16.75,M,Chicken,"Chicken, Tomatoes, Red Peppers, Spinach, Garlic, Pesto Sauce",The Chicken Pesto Pizza,2015-01-01
118,48,green_garden_s,1,01-01-15,18:26:42,12,12,S,Veggie,"Spinach, Mushrooms, Tomatoes, Green Olives, Feta Cheese",The Green Garden Pizza,2015-01-01
119,48,prsc_argla_l,1,01-01-15,18:26:42,20.75,20.75,L,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,2015-01-01
120,48,spicy_ital_l,1,01-01-15,18:26:42,20.75,20.75,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza,2015-01-01
121,49,sicilian_l,1,01-01-15,18:33:00,20.25,20.25,L,Supreme,"Coarse Sicilian Salami, Tomatoes, Green Olives, Luganega Sausage, Onions, Garlic",The Sicilian Pizza,2015-01-01
122,50,the_greek_xl,1,01-01-15,18:41:01,25.5,25.5,XL,Classic,"Kalamata Olives, Feta Cheese, Tomatoes, Garlic, Beef Chuck Roast, Red Onions",The Greek Pizza,2015-01-01
123,51,bbq_ckn_l,1,01-01-15,18:48:28,20.75,20.75,L,Chicken,"Barbecued Chicken, Red Peppers, Green Peppers, Tomatoes, Red Onions, Barbecue Sauce",The Barbecue Chicken Pizza,2015-01-01
124,51,pep_msh_pep_l,1,01-01-15,18:48:28,17.5,17.5,L,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza",2015-01-01
125,52,hawaiian_l,1,01-01-15,18:53:02,16.5,16.5,L,Classic,"Sliced Ham, Pineapple, Mozzarella Cheese",The Hawaiian Pizza,2015-01-01
126,52,mexicana_l,1,01-01-15,18:53:02,20.25,20.25,L,Veggie,"Tomatoes, Red Peppers, Jalapeno Peppers, Red Onions, Cilantro, Corn, Chipotle Sauce, Garlic",The Mexicana Pizza,2015-01-01
127,52,spicy_ital_l,1,01-01-15,18:53:02,20.75,20.75,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza,2015-01-01
128,53,pep_msh_pep_s,1,01-01-15,18:54:17,11,11,S,Classic,"Pepperoni, Mushrooms, Green Peppers","The Pepperoni, Mushroom, and Peppers Pizza",2015-01-01
129,53,spinach_supr_m,1,01-01-15,18:54:17,16.5,16.5,M,Supreme,"Spinach, Red Onions, Pepperoni, Tomatoes, Artichokes, Kalamata Olives, Garlic, Asiago Cheese",The Spinach Supreme Pizza,2015-01-01
130,54,prsc_argla_m,1,01-01-15,19:01:45,16.5,16.5,M,Supreme,"Prosciutto di San Daniele, Arugula, Mozzarella Cheese",The Prosciutto and Arugula Pizza,2015-01-01
131,54,thai_ckn_l,1,01-01-15,19:01:45,20.75,20.75,L,Chicken,"Chicken, Pineapple, Tomatoes, Red Peppers, Thai Sweet Chilli Sauce",The Thai Chicken Pizza,2015-01-01
132,55,peppr_salami_s,1,01-01-15,19:03:19,12.5,12.5,S,Supreme,"Genoa Salami, Capocollo, Pepperoni, Tomatoes, Asiago Cheese, Garlic",The Pepper Salami Pizza,2015-01-01
133,55,spicy_ital_l,1,01-01-15,19:03:19,20.75,20.75,L,Supreme,"Capocollo, Tomatoes, Goat Cheese, Artichokes, Peperoncini verdi, Garlic",The Spicy Italian Pizza,2015-01-01
134,56,classic_dlx_m,1,01-01-15,19:07:00,16,16,M,Classic,"Pepperoni, Mushrooms, Red Onions, Red Peppers, Bacon",The Classic Deluxe Pizza,2015-01-01
